"","currency","event","actual","forecast","previous","impact","DateUTC"
"6173","All","IMF Meetings","","","","yellow","2022-04-24 08:00:00"
"6174","NZD","Bank Holiday","","","","grey","2022-04-24 08:00:00"
"6175","AUD","Bank Holiday","","","","grey","2022-04-24 08:00:00"
"6176","GBP","Rightmove HPI m/m","1.6%","","1.7%","yellow","2022-04-24 15:01:00"
"6177","JPY","SPPI y/y","1.3%","1.2%","1.1%","yellow","2022-04-24 15:50:00"
"6178","EUR","Italian Bank Holiday","","","","grey","2022-04-25 08:00:00"
"6179","EUR","German ifo Business Climate","91.8","88.3","90.8","orange","2022-04-25 00:00:00"
"6180","GBP","CBI Industrial Order Expectations","14","24","26","yellow","2022-04-25 02:00:00"
"6181","EUR","Belgian NBB Business Climate","2.4","0.2","0.4","yellow","2022-04-25 04:58:00"
"6182","CAD","BOC Gov Macklem Speaks","","","","red","2022-04-25 07:00:00"
"6183","JPY","Unemployment Rate","2.6%","2.7%","2.7%","yellow","2022-04-25 15:30:00"
"6184","NZD","Credit Card Spending y/y","3.4%","","1.1%","yellow","2022-04-25 19:00:00"
"6185","JPY","BOJ Core CPI y/y","1.1%","1.1%","1.0%","yellow","2022-04-25 21:00:00"
"6186","CHF","Trade Balance","2.99B","6.23B","5.88B","yellow","2022-04-25 22:00:00"
"6187","GBP","Public Sector Net Borrowing","17.3B","14.2B","9.9B","yellow","2022-04-26 08:00:00"
"6188","USD","Core Durable Goods Orders m/m","1.1%","0.5%","-0.5%","orange","2022-04-26 04:30:00"
"6189","USD","Durable Goods Orders m/m","0.8%","1.0%","-2.1%","orange","2022-04-26 08:00:00"
"6190","CAD","Gov Council Member Lane Speaks","","","","yellow","2022-04-26 04:55:00"
"6191","USD","HPI m/m","2.1%","1.5%","1.6%","yellow","2022-04-26 05:00:00"
"6192","USD","S&P/CS Composite-20 HPI y/y","20.2%","19.2%","18.9%","yellow","2022-04-26 08:00:00"
"6193","USD","Richmond Manufacturing Index","14","9","13","yellow","2022-04-26 05:59:00"
"6194","USD","CB Consumer Confidence","107.3","108.5","107.6","orange","2022-04-26 06:00:00"
"6195","USD","New Home Sales","763K","774K","835K","yellow","2022-04-26 08:00:00"
"6196","AUD","CPI q/q","2.1%","1.7%","1.3%","red","2022-04-26 17:30:00"
"6197","AUD","Trimmed Mean CPI q/q","1.4%","1.2%","1.0%","red","2022-04-26 08:00:00"
"6198","EUR","German GfK Consumer Climate","-26.5","-16.1","-15.7","yellow","2022-04-26 22:00:00"
"6199","CHF","Credit Suisse Economic Expectations","-51.6","","-27.8","yellow","2022-04-27 00:00:00"
"6200","GBP","CBI Realized Sales","-35","-6","9","yellow","2022-04-27 02:00:00"
"6201","USD","Goods Trade Balance","-125.3B","-105.0B","-106.3B","yellow","2022-04-27 04:30:00"
"6202","USD","Prelim Wholesale Inventories m/m","2.3%","1.5%","2.5%","yellow","2022-04-27 08:00:00"
"6203","CNY","CB Leading Index m/m","-0.1%","","0.5%","yellow","2022-04-27 05:00:00"
"6204","USD","Pending Home Sales m/m","-1.2%","-1.0%","-4.0%","yellow","2022-04-27 06:00:00"
"6205","USD","Crude Oil Inventories","0.7M","0.1M","-8.0M","yellow","2022-04-27 06:30:00"
"6206","EUR","ECB President Lagarde Speaks","","","","orange","2022-04-27 08:00:00"
"6207","CAD","BOC Gov Macklem Speaks","","","","red","2022-04-27 14:30:00"
"6208","NZD","Trade Balance","-392M","-648M","-691M","yellow","2022-04-27 14:45:00"
"6209","JPY","Prelim Industrial Production m/m","0.3%","0.5%","2.0%","yellow","2022-04-27 15:50:00"
"6210","JPY","Retail Sales y/y","0.9%","0.3%","-0.9%","yellow","2022-04-27 08:00:00"
"6211","NZD","ANZ Business Confidence","-42.0","","-41.9","yellow","2022-04-27 17:00:00"
"6212","AUD","Import Prices q/q","5.1%","7.1%","5.8%","yellow","2022-04-27 17:30:00"
"6213","JPY","BOJ Outlook Report","","","","red","2022-04-27 19:11:00"
"6214","JPY","Monetary Policy Statement","","","","orange","2022-04-27 08:00:00"
"6215","JPY","BOJ Policy Rate","-0.10%","-0.10%","-0.10%","yellow","2022-04-27 08:00:00"
"6216","JPY","Housing Starts y/y","6.0%","-0.5%","6.3%","yellow","2022-04-27 20:59:00"
"6217","EUR","German Prelim CPI m/m","0.8%","0.5%","2.5%","yellow","2022-04-28 08:00:00"
"6218","JPY","BOJ Press Conference","","","","orange","2022-04-27 22:30:00"
"6219","EUR","Spanish Flash CPI y/y","8.4%","9.1%","9.8%","yellow","2022-04-27 23:00:00"
"6220","EUR","Spanish Unemployment Rate","13.6%","13.0%","13.3%","yellow","2022-04-28 08:00:00"
"6221","EUR","ECB Economic Bulletin","","","","yellow","2022-04-28 00:00:00"
"6222","USD","Advance GDP q/q","-1.4%","1.1%","6.9%","red","2022-04-28 04:30:00"
"6223","USD","Advance GDP Price Index q/q","8.0%","7.2%","7.1%","orange","2022-04-28 08:00:00"
"6224","USD","Unemployment Claims","180K","178K","185K","orange","2022-04-28 08:00:00"
"6225","USD","Natural Gas Storage","40B","39B","53B","yellow","2022-04-28 06:30:00"
"6226","JPY","Bank Holiday","","","","grey","2022-04-28 08:00:00"
"6227","AUD","PPI q/q","1.6%","1.5%","1.3%","yellow","2022-04-28 17:30:00"
"6228","AUD","Private Sector Credit m/m","0.4%","0.6%","0.6%","yellow","2022-04-28 08:00:00"
"6229","EUR","French Consumer Spending m/m","-1.3%","-0.3%","0.9%","yellow","2022-04-28 21:30:00"
"6230","EUR","French Flash GDP q/q","0.0%","0.3%","0.8%","yellow","2022-04-29 08:00:00"
"6231","EUR","German Import Prices m/m","5.7%","3.5%","1.3%","yellow","2022-04-28 22:00:00"
"6232","GBP","Nationwide HPI m/m","0.3%","0.8%","1.1%","yellow","2022-04-29 08:00:00"
"6233","CHF","Retail Sales y/y","-6.6%","13.3%","12.5%","yellow","2022-04-28 22:30:00"
"6234","EUR","French Prelim CPI m/m","0.4%","0.2%","1.4%","yellow","2022-04-28 22:45:00"
"6235","CHF","KOF Economic Barometer","101.7","98.8","99.2","yellow","2022-04-28 23:00:00"
"6236","EUR","Spanish Flash GDP q/q","0.3%","0.6%","2.2%","yellow","2022-04-29 08:00:00"
"6237","CHF","SNB Chairman Jordan Speaks","","","","orange","2022-04-29 00:00:00"
"6238","EUR","German Prelim GDP q/q","0.2%","0.2%","-0.3%","orange","2022-04-29 08:00:00"
"6239","EUR","M3 Money Supply y/y","6.3%","6.2%","6.4%","yellow","2022-04-29 08:00:00"
"6240","EUR","Italian Prelim GDP q/q","-0.2%","-0.2%","0.7%","yellow","2022-04-29 08:00:00"
"6241","EUR","Private Loans y/y","4.5%","4.5%","4.4%","yellow","2022-04-29 08:00:00"
"6242","EUR","CPI Flash Estimate y/y","7.5%","7.5%","7.4%","orange","2022-04-29 01:00:00"
"6243","EUR","Core CPI Flash Estimate y/y","3.5%","3.2%","2.9%","yellow","2022-04-29 08:00:00"
"6244","EUR","Italian Prelim CPI m/m","0.2%","0.4%","1.0%","yellow","2022-04-29 08:00:00"
"6245","EUR","Prelim Flash GDP q/q","0.2%","0.3%","0.3%","yellow","2022-04-29 08:00:00"
"6246","EUR","Italian 10-y Bond Auction","2.78|1.3","","2.14|1.3","yellow","2022-04-29 01:10:00"
"6247","CAD","GDP m/m","1.1%","0.8%","0.2%","orange","2022-04-29 04:30:00"
"6248","USD","Core PCE Price Index m/m","0.3%","0.3%","0.3%","red","2022-04-29 08:00:00"
"6249","USD","Employment Cost Index q/q","1.4%","1.1%","1.0%","yellow","2022-04-29 08:00:00"
"6250","USD","Personal Income m/m","0.5%","0.4%","0.7%","yellow","2022-04-29 08:00:00"
"6251","USD","Personal Spending m/m","1.1%","0.7%","0.6%","yellow","2022-04-29 08:00:00"
"6252","USD","Chicago PMI","56.4","62.1","62.9","yellow","2022-04-29 05:45:00"
"6253","USD","Revised UoM Consumer Sentiment","65.2","65.8","65.7","orange","2022-04-29 06:00:00"
"6254","USD","Revised UoM Inflation Expectations","5.4%","","5.4%","yellow","2022-04-29 08:00:00"
"6255","CNY","Manufacturing PMI","47.4","48.0","49.5","yellow","2022-04-29 17:30:00"
"6256","CNY","Non-Manufacturing PMI","41.9","46.1","48.4","yellow","2022-04-29 08:00:00"
"6257","CNY","Caixin Manufacturing PMI","46.0","47.0","48.1","yellow","2022-04-29 17:45:00"
"6258","AUD","AIG Manufacturing Index","58.5","","55.7","yellow","2022-05-01 14:50:00"
"6259","CNY","Bank Holiday","","","","grey","2022-05-01 08:00:00"
"6260","JPY","Final Manufacturing PMI","53.5","53.4","53.4","yellow","2022-05-01 16:30:00"
"6261","AUD","MI Inflation Gauge m/m","-0.1%","","0.8%","yellow","2022-05-01 17:07:00"
"6262","AUD","ANZ Job Advertisements m/m","-0.5%","","0.7%","yellow","2022-05-01 17:30:00"
"6263","JPY","Consumer Confidence","33.0","34.9","32.8","yellow","2022-05-01 20:59:00"
"6264","EUR","German Retail Sales m/m","-0.1%","0.2%","0.2%","yellow","2022-05-01 22:00:00"
"6265","AUD","Commodity Prices y/y","39.9%","","39.6%","yellow","2022-05-01 22:30:00"
"6266","CHF","SECO Consumer Climate","-27","-15","-4","yellow","2022-05-01 23:00:00"
"6267","GBP","Bank Holiday","","","","grey","2022-05-02 08:00:00"
"6268","EUR","Spanish Manufacturing PMI","53.3","54.0","54.2","yellow","2022-05-01 23:15:00"
"6269","CHF","Manufacturing PMI","62.5","60.5","64.0","yellow","2022-05-01 23:30:00"
"6270","EUR","Italian Manufacturing PMI","54.5","55.1","55.8","yellow","2022-05-01 23:45:00"
"6271","EUR","French Final Manufacturing PMI","55.7","55.4","55.4","yellow","2022-05-01 23:50:00"
"6272","EUR","German Final Manufacturing PMI","54.6","54.1","54.1","yellow","2022-05-01 23:55:00"
"6273","EUR","Final Manufacturing PMI","55.5","55.3","55.3","yellow","2022-05-02 00:00:00"
"6274","EUR","Italian Monthly Unemployment Rate","8.3%","8.4%","8.5%","yellow","2022-05-02 08:00:00"
"6275","CAD","Manufacturing PMI","56.2","","58.9","yellow","2022-05-02 05:30:00"
"6276","USD","Final Manufacturing PMI","59.2","59.7","59.7","yellow","2022-05-02 05:45:00"
"6277","USD","ISM Manufacturing PMI","55.4","57.5","57.1","red","2022-05-02 06:00:00"
"6278","USD","Construction Spending m/m","0.1%","0.8%","0.5%","yellow","2022-05-02 08:00:00"
"6279","USD","ISM Manufacturing Prices","84.6","87.6","87.1","yellow","2022-05-02 08:00:00"
"6280","NZD","Building Consents m/m","5.8%","","12.2%","yellow","2022-05-02 14:45:00"
"6281","AUD","Retail Sales m/m","1.6%","1.7%","1.8%","yellow","2022-05-02 15:30:00"
"6282","JPY","Bank Holiday","","","","grey","2022-05-02 08:00:00"
"6283","CNY","Bank Holiday","","","","grey","2022-05-02 08:00:00"
"6284","AUD","Cash Rate","0.35%","0.25%","0.10%","red","2022-05-02 20:30:00"
"6285","AUD","RBA Rate Statement","","","","red","2022-05-03 08:00:00"
"6286","AUD","RBA Gov Lowe Speaks","","","","red","2022-05-02 22:30:00"
"6287","EUR","French Gov Budget Balance","-38.3B","","-37.6B","yellow","2022-05-02 22:45:00"
"6288","EUR","German Unemployment Change","-13K","-15K","-18K","yellow","2022-05-02 23:55:00"
"6289","GBP","Final Manufacturing PMI","55.8","55.3","55.3","yellow","2022-05-03 00:30:00"
"6290","EUR","PPI m/m","5.3%","4.9%","1.1%","yellow","2022-05-03 01:00:00"
"6291","EUR","Unemployment Rate","6.8%","6.8%","6.9%","yellow","2022-05-03 08:00:00"
"6292","EUR","ECOFIN Meetings","","","","yellow","2022-05-03 08:00:00"
"6293","EUR","Eurogroup Meetings","","","","yellow","2022-05-03 08:00:00"
"6294","EUR","ECB President Lagarde Speaks","","","","orange","2022-05-03 05:00:00"
"6295","USD","JOLTS Job Openings","11.55M","11.19M","11.34M","red","2022-05-03 06:00:00"
"6296","USD","Factory Orders m/m","2.2%","1.3%","0.1%","yellow","2022-05-03 08:00:00"
"6297","USD","Wards Total Vehicle Sales","14.3M","14.2M","13.3M","yellow","2022-05-03 08:00:00"
"6298","NZD","GDT Price Index","-8.5%","","-3.6%","yellow","2022-05-03 06:54:00"
"6299","CAD","Gov Council Member Rogers Speaks","","","","yellow","2022-05-03 08:30:00"
"6300","NZD","RBNZ Financial Stability Report","","","","orange","2022-05-03 13:00:00"
"6301","AUD","AIG Construction Index","55.9","","56.5","yellow","2022-05-03 14:30:00"
"6302","NZD","Employment Change q/q","0.1%","0.1%","0.0%","red","2022-05-03 14:45:00"
"6303","NZD","Unemployment Rate","3.2%","3.2%","3.2%","red","2022-05-03 08:00:00"
"6304","NZD","Labor Cost Index q/q","0.7%","0.7%","0.7%","yellow","2022-05-03 08:00:00"
"6305","NZD","RBNZ Gov Orr Speaks","","","","red","2022-05-03 15:00:00"
"6306","GBP","BRC Shop Price Index y/y","2.7%","","2.1%","yellow","2022-05-03 15:01:00"
"6307","JPY","Bank Holiday","","","","grey","2022-05-03 08:00:00"
"6308","CNY","Bank Holiday","","","","grey","2022-05-03 08:00:00"
"6309","NZD","ANZ Commodity Prices m/m","-1.9%","","3.9%","yellow","2022-05-03 17:00:00"
"6310","EUR","German Trade Balance","3.2B","12.3B","11.1B","yellow","2022-05-03 22:00:00"
"6311","EUR","Spanish Unemployment Change","-86.3K","-75.0K","-2.9K","orange","2022-05-03 23:00:00"
"6312","EUR","Spanish Services PMI","57.1","56.0","53.4","yellow","2022-05-03 23:15:00"
"6313","EUR","Italian Services PMI","55.7","54.6","52.1","yellow","2022-05-03 23:45:00"
"6314","EUR","French Final Services PMI","58.9","58.8","58.8","yellow","2022-05-03 23:50:00"
"6315","EUR","German Final Services PMI","57.6","57.9","57.9","yellow","2022-05-03 23:55:00"
"6316","EUR","Final Services PMI","57.7","57.7","57.7","yellow","2022-05-04 00:00:00"
"6317","GBP","M4 Money Supply m/m","0.1%","0.8%","1.0%","yellow","2022-05-04 00:30:00"
"6318","GBP","Mortgage Approvals","71K","70K","71K","yellow","2022-05-04 08:00:00"
"6319","GBP","Net Lending to Individuals m/m","8.3B","6.2B","6.1B","yellow","2022-05-04 00:32:00"
"6320","EUR","Retail Sales m/m","-0.4%","-0.3%","0.4%","yellow","2022-05-04 01:00:00"
"6321","EUR","German 10-y Bond Auction","0.93|1.6","","0.83|1.3","yellow","2022-05-04 01:36:00"
"6322","USD","ADP Non-Farm Employment Change","247K","382K","479K","red","2022-05-04 04:15:00"
"6323","CAD","Trade Balance","2.5B","3.7B","3.1B","yellow","2022-05-04 04:30:00"
"6324","USD","Trade Balance","-109.8B","-107.3B","-89.8B","yellow","2022-05-04 08:00:00"
"6325","USD","Final Services PMI","55.6","54.7","54.7","yellow","2022-05-04 05:45:00"
"6326","USD","ISM Services PMI","57.1","58.5","58.3","orange","2022-05-04 06:00:00"
"6327","USD","Crude Oil Inventories","1.3M","-0.7M","0.7M","yellow","2022-05-04 06:30:00"
"6328","USD","President Biden Speaks","","","","yellow","2022-05-04 07:00:00"
"6329","USD","Federal Funds Rate","1.00%","1.00%","0.50%","red","2022-05-04 10:00:00"
"6330","USD","FOMC Statement","","","","red","2022-05-04 08:00:00"
"6331","USD","FOMC Press Conference","","","","red","2022-05-04 10:30:00"
"6332","JPY","Bank Holiday","","","","grey","2022-05-04 08:00:00"
"6333","AUD","Building Approvals m/m","-18.5%","-11.7%","42.0%","yellow","2022-05-04 17:30:00"
"6334","AUD","Trade Balance","9.31B","8.50B","7.44B","yellow","2022-05-04 08:00:00"
"6335","CNY","Caixin Services PMI","36.2","40.1","42.0","yellow","2022-05-04 17:45:00"
"6336","EUR","German Factory Orders m/m","-4.7%","-1.0%","-0.8%","yellow","2022-05-04 22:00:00"
"6337","CHF","CPI m/m","0.4%","0.3%","0.6%","yellow","2022-05-04 22:30:00"
"6338","EUR","French Industrial Production m/m","-0.5%","-0.2%","-1.2%","yellow","2022-05-04 22:45:00"
"6339","GBP","Final Services PMI","58.9","58.3","58.3","yellow","2022-05-05 00:30:00"
"6340","EUR","French 10-y Bond Auction","1.51|1.8","","1.17|1.8","yellow","2022-05-05 01:01:00"
"6341","All","OPEC-JMMC Meetings","","","","orange","2022-05-05 08:00:00"
"6342","GBP","BOE Monetary Policy Report","","","","red","2022-05-05 03:00:00"
"6343","GBP","Monetary Policy Summary","","","","red","2022-05-05 08:00:00"
"6344","GBP","MPC Official Bank Rate Votes","9-0-0","8-0-1","8-0-1","red","2022-05-05 08:00:00"
"6345","GBP","Official Bank Rate","1.00%","1.00%","0.75%","red","2022-05-05 08:00:00"
"6346","GBP","BOE Gov Bailey Speaks","","","","red","2022-05-05 03:30:00"
"6347","USD","Challenger Job Cuts y/y","6.0%","","-30.1%","yellow","2022-05-05 08:00:00"
"6348","USD","Unemployment Claims","200K","180K","181K","orange","2022-05-05 04:30:00"
"6349","USD","Prelim Nonfarm Productivity q/q","-7.5%","-5.1%","6.3%","yellow","2022-05-05 08:00:00"
"6350","USD","Prelim Unit Labor Costs q/q","11.6%","10.1%","0.9%","yellow","2022-05-05 08:00:00"
"6351","CAD","Gov Council Member Schembri Speaks","","","","yellow","2022-05-05 05:40:00"
"6352","USD","Mortgage Delinquencies","4.11%","","4.65%","yellow","2022-05-05 06:00:00"
"6353","USD","Natural Gas Storage","77B","69B","40B","yellow","2022-05-05 06:30:00"
"6354","AUD","AIG Services Index","57.8","","56.2","yellow","2022-05-05 14:30:00"
"6355","JPY","Tokyo Core CPI y/y","1.9%","1.8%","0.8%","yellow","2022-05-05 15:30:00"
"6356","JPY","Monetary Base y/y","6.6%","8.2%","7.9%","yellow","2022-05-05 15:50:00"
"6357","AUD","RBA Monetary Policy Statement","","","","red","2022-05-05 17:30:00"
"6358","CHF","Unemployment Rate","2.2%","2.2%","2.2%","yellow","2022-05-05 21:45:00"
"6359","EUR","German Industrial Production m/m","-3.9%","-1.3%","0.1%","yellow","2022-05-05 22:00:00"
"6360","GBP","Halifax HPI m/m","1.1%","0.7%","1.5%","yellow","2022-05-06 08:00:00"
"6361","EUR","French Prelim Private Payrolls q/q","0.3%","0.2%","0.6%","yellow","2022-05-05 22:45:00"
"6362","CHF","Foreign Currency Reserves","926B","","910B","yellow","2022-05-05 23:00:00"
"6363","EUR","Italian Retail Sales m/m","-0.5%","0.5%","0.7%","yellow","2022-05-06 00:00:00"
"6364","GBP","Construction PMI","58.2","58.0","59.1","yellow","2022-05-06 00:30:00"
"6365","GBP","MPC Member Mann Speaks","","","","yellow","2022-05-06 01:15:00"
"6366","EUR","German Buba President Nagel Speaks","","","","yellow","2022-05-06 01:30:00"
"6367","GBP","MPC Member Pill Speaks","","","","yellow","2022-05-06 03:15:00"
"6368","CAD","Employment Change","15.3K","39.5K","72.5K","red","2022-05-06 04:30:00"
"6369","CAD","Unemployment Rate","5.2%","5.2%","5.3%","red","2022-05-06 08:00:00"
"6370","USD","Average Hourly Earnings m/m","0.3%","0.4%","0.5%","red","2022-05-06 08:00:00"
"6371","USD","Non-Farm Employment Change","428K","390K","428K","red","2022-05-06 08:00:00"
"6372","USD","Unemployment Rate","3.6%","3.5%","3.6%","red","2022-05-06 08:00:00"
"6373","USD","FOMC Member Williams Speaks","","","","yellow","2022-05-06 05:15:00"
"6374","CAD","Ivey PMI","66.3","70.0","74.2","orange","2022-05-06 06:00:00"
"6375","GBP","MPC Member Tenreyro Speaks","","","","yellow","2022-05-06 07:00:00"
"6376","USD","Consumer Credit m/m","52.4B","25.1B","37.7B","yellow","2022-05-06 11:00:00"
"6377","USD","FOMC Member Bullard Speaks","","","","orange","2022-05-06 15:15:00"
"6378","USD","FOMC Member Waller Speaks","","","","orange","2022-05-06 08:00:00"
"6379","JPY","Average Cash Earnings y/y","1.2%","0.9%","1.2%","yellow","2022-05-08 15:30:00"
"6380","JPY","Monetary Policy Meeting Minutes","","","","yellow","2022-05-08 15:50:00"
"6381","CNY","Trade Balance","325B","339B","301B","yellow","2022-05-08 19:55:00"
"6382","CNY","USD-Denominated Trade Balance","51.1B","50.9B","47.4B","yellow","2022-05-08 08:00:00"
"6383","EUR","French Trade Balance","-12.4B","-11.2B","-10.4B","yellow","2022-05-08 22:45:00"
"6384","EUR","Sentix Investor Confidence","-22.6","-21.7","-18.0","yellow","2022-05-09 00:30:00"
"6385","CAD","Building Permits m/m","-9.3%","3.4%","21.0%","yellow","2022-05-09 04:30:00"
"6386","GBP","MPC Member Saunders Speaks","","","","orange","2022-05-09 05:00:00"
"6387","USD","Final Wholesale Inventories m/m","2.3%","2.3%","2.3%","yellow","2022-05-09 06:00:00"
"6388","USD","Loan Officer Survey","","","","yellow","2022-05-09 10:00:00"
"6389","USD","FOMC Financial Stability Report","","","","yellow","2022-05-09 12:00:00"
"6390","GBP","BRC Retail Sales Monitor y/y","-1.7%","3.5%","-0.4%","yellow","2022-05-09 15:01:00"
"6391","JPY","Household Spending y/y","-2.3%","-3.2%","1.1%","yellow","2022-05-09 15:30:00"
"6392","AUD","NAB Business Confidence","10","","16","yellow","2022-05-09 17:30:00"
"6393","JPY","10-y Bond Auction","0.25|5.7","","0.20|3.6","yellow","2022-05-09 19:35:00"
"6394","EUR","Italian Industrial Production m/m","0.0%","-1.4%","4.0%","yellow","2022-05-10 00:00:00"
"6395","EUR","ZEW Economic Sentiment","-29.5","-42.0","-43.0","yellow","2022-05-10 01:04:00"
"6396","EUR","German ZEW Economic Sentiment","-34.3","-43.0","-41.0","yellow","2022-05-10 08:00:00"
"6397","USD","NFIB Small Business Index","93.2","92.9","93.2","yellow","2022-05-10 01:54:00"
"6398","USD","FOMC Member Williams Speaks","","","","yellow","2022-05-10 03:40:00"
"6399","USD","Treasury Sec Yellen Speaks","","","","orange","2022-05-10 05:45:00"
"6400","USD","IBD/TIPP Economic Optimism","41.2","42.5","45.5","yellow","2022-05-10 05:58:00"
"6401","EUR","German Buba President Nagel Speaks","","","","yellow","2022-05-10 06:00:00"
"6402","USD","President Biden Speaks","","","","yellow","2022-05-10 07:30:00"
